31208-2,Specimen,SPEC,Misc; Miscellaneous; Nominal; Other; Point in time; Random; Spec; To be specified in another part of the message; Unspecified,Specimen source,,Specimen source identified,,Specimen Nom (Specimen)
8462-4,Intravascular diastolic,BP.ATOM,Art sys; Blood pressure; Blood pressure diastolic; BLOOD PRESSURE MEASUREMENTS.ATOM; BP; BP dias; BP diastolic; Cardio; Cardiology; DBP; Dias; Dias BP; Diast; Diastoli; Heart Disease; Intravenous; IV; Point in time; Pressure; QNT; Quan; Quant; Quantitative; Random,BP dias,mm Hg,Diastolic blood pressure,mm[Hg],
8480-6,Intravascular systolic,BP.ATOM,Art sys; Blood pressure; BLOOD PRESSURE MEASUREMENTS.ATOM; Blood pressure systolic; BP; BP sys; BP systolic; Cardio; Cardiology; Heart Disease; Intravenous; IV; Point in time; Pressure; QNT; Quan; Quant; Quantitative; Random; SBP; Sys BP,BP sys,mm Hg,Systolic blood pressure,mm[Hg],
2160-0,Creatinine,CHEM,Chemistry; CR; Crea; Creat; Kidney; Level; Mass concentration; Nephrology; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Creat SerPl-mCnc,mg/dL,Creatinine [Mass/volume] in Serum or Plasma,mg/dL,Creatinine [Mass/Vol]
2951-2,Sodium,CHEM,Chemistry; Level; Na; Na+; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders,Sodium SerPl-sCnc,mmol/L,Sodium [Moles/volume] in Serum or Plasma,mmol/L,Sodium [Moles/Vol]
2345-7,Glucose,CHEM,Chemistry; Endocrine; Endocrinology; Glu; Gluc; Glucoseur; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Glucose SerPl-mCnc,mg/dL,Glucose [Mass/volume] in Serum or Plasma,mg/dL,Glucose [Mass/Vol]
2823-3,Potassium,CHEM,Chemistry; k; K+; Level; Pl; Plasma; Plsm; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders,Potassium SerPl-sCnc,mmol/L,Potassium [Moles/volume] in Serum or Plasma,mmol/L,Potassium [Moles/Vol]
2075-0,Chloride,CHEM,Chemistry; Cl; Cl-; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; UniversalLabOrders,Chloride SerPl-sCnc,mmol/L,Chloride [Moles/volume] in Serum or Plasma,mmol/L,Chloride [Moles/Vol]
3094-0,Urea nitrogen,CHEM,Blood urea nitrogen; BUN; Chemistry; Kidney; Level; Mass concentration; N; N2; Nephrology; Nit; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Renal; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UN; UniversalLabOrders,BUN SerPl-mCnc,mg/dL,Urea nitrogen [Mass/volume] in Serum or Plasma,mg/dL,Urea nitrogen [Mass/Vol]
17861-6,Calcium,CHEM,Ca; Cal; Chemistry; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders,Calcium SerPl-mCnc,mg/dL,Calcium [Mass/volume] in Serum or Plasma,mg/dL,Calcium [Mass/Vol]
2028-9,Carbon dioxide,CHEM,Carbonic anhydride; cCO2; Chemistry; CO2; CO2 TOTAL; CO2CT; ctCO2; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; tCO2; UniversalLabOrders,CO2 SerPl-sCnc,mmol/L,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",mmol/L,CO2 [Moles/Vol]
9279-1,Breaths,RESP.ATOM,Breathing; Count/time; Lungs; nRate; Number rate; Number Rate = Count/Time; Point in time; QNT; Quan; Quant; Quantitative; Random; RESP.ATOM; Respiratory rate; RS,Resp rate,{breaths}/min,Respiratory rate,{breaths}/min;{counts}/min,
